MatchId,Fecha,Local,Visita,HomeTeamId,AwayTeamId,Estado,ResultadoReal,Acierto,Mercado,Seleccion,Probabilidad
11054_18333_2026-09-08,2026-09-08,Flamengo U20,Forte U20,11054,18333,PENDIENTE,,,Doble Oportunidad,1X,0.854
8893_8685_2026-09-08,2026-09-08,Pagham,Ascot United,8893,8685,PENDIENTE,,,Goles,-3.5 Goles,0.851
8699_16992_2026-09-08,2026-09-08,Barton Town Old Boys,North Ferriby,8699,16992,PENDIENTE,,,Mega-Misil SGBB,1X_U45,0.914
8699_16992_2026-09-08,2026-09-08,Barton Town Old Boys,North Ferriby,8699,16992,PENDIENTE,,,Doble Oportunidad,1X,0.95
8699_16992_2026-09-08,2026-09-08,Barton Town Old Boys,North Ferriby,8699,16992,PENDIENTE,,,Goles,-3.5 Goles,0.891
8699_16992_2026-09-08,2026-09-08,Barton Town Old Boys,North Ferriby,8699,16992,PENDIENTE,,,Ambos Anotan,No,0.808
8711_24335_2026-09-08,2026-09-08,Boldmere St. Michaels,Bourne Town,8711,24335,PENDIENTE,,,Doble Oportunidad,X2,0.855
7216_8658_2026-09-08,2026-09-08,Brentwood Town,Concord Rangers,7216,8658,PENDIENTE,,,Goles,-3.5 Goles,0.861
19549_7267_2026-09-08,2026-09-08,Buckhurst Hill,Yaxley,19549,7267,PENDIENTE,,,Goles,-3.5 Goles,0.868
4690_7261_2026-09-08,2026-09-08,Dartford,Westfield (Surrey),4690,7261,PENDIENTE,,,Goles,-3.5 Goles,0.87
8781_7678_2026-09-08,2026-09-08,Fakenham Town,Ware,8781,7678,PENDIENTE,,,Goles,+1.5 Goles,0.849
7642_7759_2026-09-08,2026-09-08,Felixstowe & Walton Utd,Wingate & Finchley,7642,7759,PENDIENTE,,,Goles,-3.5 Goles,0.864
1824_8953_2026-09-08,2026-09-08,Guiseley AFC,Stockton Town,1824,8953,PENDIENTE,,,Doble Oportunidad,1X,0.822
1824_8953_2026-09-08,2026-09-08,Guiseley AFC,Stockton Town,1824,8953,PENDIENTE,,,Goles,+1.5 Goles,0.855
16987_7217_2026-09-08,2026-09-08,Jersey Bulls,Burgess Hill Town,16987,7217,PENDIENTE,,,Goles,-3.5 Goles,0.944
8654_8989_2026-09-08,2026-09-08,Kettering Town,Wellingborough Town,8654,8989,PENDIENTE,,,Doble Oportunidad,1X,0.804
7727_7228_2026-09-08,2026-09-08,Leiston,Grays Athletic,7727,7228,PENDIENTE,,,Doble Oportunidad,1X,0.862
7727_7228_2026-09-08,2026-09-08,Leiston,Grays Athletic,7727,7228,PENDIENTE,,,Goles,+1.5 Goles,0.839
24346_7758_2026-09-08,2026-09-08,Portishead Town,Wimborne Town,24346,7758,PENDIENTE,,,Goles,-3.5 Goles,0.977
24346_7758_2026-09-08,2026-09-08,Portishead Town,Wimborne Town,24346,7758,PENDIENTE,,,Ambos Anotan,No,0.817
7756_8932_2026-09-08,2026-09-08,Warrington Town,Shildon AFC,7756,8932,PENDIENTE,,,Goles,+1.5 Goles,0.808
7262_8760_2026-09-08,2026-09-08,Whyteleafe,Crowborough Athletic,7262,8760,PENDIENTE,,,Goles,+1.5 Goles,0.805
9010_18201_2026-09-08,2026-09-08,Worcester City,Knowle,9010,18201,PENDIENTE,,,Goles,-3.5 Goles,0.931
8708_11936_2026-09-08,2026-09-08,Bishop Auckland,AFC Emley,8708,11936,PENDIENTE,,,Goles,-3.5 Goles,0.869
5354_11112_2026-09-08,2026-09-08,Larne,Bangor,5354,11112,PENDIENTE,,,Doble Oportunidad,1X,0.803
5354_11112_2026-09-08,2026-09-08,Larne,Bangor,5354,11112,PENDIENTE,,,Goles,+1.5 Goles,0.871
43_75_2026-09-08,2026-09-08,Cardiff,Stoke City,43,75,PENDIENTE,,,Goles,+1.5 Goles,0.899
